item,detection error rate %,total,false alarm,false alarm %,miss,miss %
C18_20170711_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_002040_002100.rttm,315.57,1.67,3.60,215.57,1.67,100.00
C18_20170718_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C18_20170718_045240_045300.rttm,2580.82,0.73,18.11,2480.82,0.73,100.00
C18_20170718_048840_048900.rttm,152.53,1.98,3.02,152.53,0.00,0.00
C18_20170718_052440_052500.rttm,353.71,4.58,14.67,320.31,1.53,33.41
C18_20170718_056040_056100.rttm,100.00,3.61,0.00,0.00,3.61,100.00
C20_20170711_002040_002100.rttm,183.13,4.80,3.99,83.13,4.80,100.00
C20_20170711_005640_005700.rttm,74.90,10.48,0.52,4.96,7.33,69.94
C20_20170711_009240_009300.rttm,78.96,19.96,2.63,13.18,13.13,65.78
C20_20170711_012840_012900.rttm,79.89,5.22,1.13,21.65,3.04,58.24
C20_20170711_016440_016500.rttm,100.00,6.71,0.00,0.00,6.71,100.00
C20_20170711_020040_020100.rttm,74.18,30.44,0.83,2.73,21.75,71.45
C20_20170711_023640_023700.rttm,100.00,2.28,0.00,0.00,2.28,100.00
C20_20170711_027240_027300.rttm,96.81,3.13,1.38,44.09,1.65,52.72
C20_20170711_030840_030900.rttm,100.00,4.88,0.00,0.00,4.88,100.00
C20_20170711_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_038040_038100.rttm,91.63,14.82,0.45,3.04,13.13,88.60
C20_20170711_041640_041700.rttm,100.00,0.00,0.81,,0.00,
C20_20170711_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C20_20170711_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_002040_002100.rttm,102.63,18.98,1.35,7.11,18.13,95.52
C22_20170717_005640_005700.rttm,54.12,10.31,2.13,20.66,3.45,33.46
C22_20170717_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_016440_016500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_020040_020100.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_023640_023700.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_027240_027300.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_045240_045300.rttm,100.00,0.00,3.12,,0.00,
C22_20170717_048840_048900.rttm,50.80,13.05,3.32,25.44,3.31,25.36
C22_20170717_052440_052500.rttm,0.00,0.00,0.00,,0.00,
C22_20170717_056040_056100.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_002040_002100.rttm,83.76,3.94,0.68,17.26,2.62,66.50
C24_20170712_005640_005700.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_009240_009300.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_012840_012900.rttm,152.63,1.14,0.60,52.63,1.14,100.00
C24_20170712_016440_016500.rttm,246.48,1.42,2.08,146.48,1.42,100.00
C24_20170712_020040_020100.rttm,100.00,0.00,4.01,,0.00,
C24_20170712_023640_023700.rttm,57.16,50.54,1.15,2.28,27.74,54.89
C24_20170712_027240_027300.rttm,100.00,0.00,3.58,,0.00,
C24_20170712_030840_030900.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_034440_034500.rttm,0.00,0.00,0.00,,0.00,
C24_20170712_038040_038100.rttm,42.34,4.70,0.06,1.28,1.93,41.06
C24_20170712_041640_041700.rttm,141.49,2.41,1.00,41.49,2.41,100.00
C24_20170719_002040_002100.rttm,61.63,15.48,2.82,18.22,6.72,43.41
C24_20170719_005640_005700.rttm,60.07,2.73,0.46,16.85,1.18,43.22
C24_20170719_009240_009300.rttm,100.00,0.00,0.48,,0.00,
C24_20170719_012840_012900.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_016440_016500.rttm,284.15,1.64,3.02,184.15,1.64,100.00
C24_20170719_020040_020100.rttm,466.81,4.55,18.80,413.19,2.44,53.63
C24_20170719_023640_023700.rttm,113.52,4.88,1.19,24.39,4.35,89.14
C24_20170719_027240_027300.rttm,100.00,2.28,0.00,0.00,2.28,100.00
C24_20170719_030840_030900.rttm,100.00,0.00,1.00,,0.00,
C24_20170719_034440_034500.rttm,66.92,15.63,0.95,6.08,9.51,60.84
C24_20170719_038040_038100.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_041640_041700.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_045240_045300.rttm,0.00,0.00,0.00,,0.00,
C24_20170719_048840_048900.rttm,0.00,0.00,0.00,,0.00,
C25_20170719_002040_002100.rttm,88.43,9.68,3.11,32.13,5.45,56.30
C25_20170719_005640_005700.rttm,100.00,0.00,1.01,,0.00,
C25_20170719_009240_009300.rttm,54.56,5.48,0.49,8.94,2.50,45.62
C25_20170719_012840_012900.rttm,65.54,25.19,0.97,3.85,15.54,61.69
