"filename" "age_mo_round" "CV_cum_dur" "CV_mean" "CV_count" "CNV_cum_dur" "CNV_mean" "CNV_count" "CTC_count"
"9755_35280_35400" 3 4.22 0.602857142857143 6 0.41 0.0585714285714286 1 2
"9755_36060_36180" 3 0.61 0.038125 1 19.58 1.22375 15 8
"9755_36900_37020" 3 5.37 1.074 5 0 0 0 2
"9755_38340_38460" 3 1.33 0.665 2 0 0 0 0
"9755_38880_39000" 3 0.69 0.69 1 0 0 0 1
"9801_ 2100_ 2220" 19 4.9 0.288235294117647 7 10.1 0.594117647058824 10 11
"9801_ 8820_ 8940" 19 1.88 0.125333333333333 1 29.21 1.94733333333333 14 5
"9801_11340_11460" 19 0.63 0.315 1 0.6 0.3 1 1
"9801_12840_12960" 19 0 0 0 0.4 0.4 1 1
"9801_19260_19380" 19 11.35 0.405357142857143 15 26.54 0.947857142857143 13 9
"9801_21720_21840" 19 3.66 0.732 4 0.8 0.16 1 2
"9801_28740_28860" 19 1.84 0.613333333333333 2 0.63 0.21 1 2
"9801_35400_35520" 19 7.53 0.470625 10 4.89 0.305625 6 5
"9801_36900_37020" 19 1.36 0.453333333333333 2 0.89 0.296666666666667 1 2
"9801_43620_43740" 19 1.08 0.216 1 3.64 0.728 4 0
"9854_ 3120_ 3240" 17 5.96 0.745 7 0.76 0.095 1 5
"9854_ 7380_ 7500" 17 1.56 0.78 2 0 0 0 3
"9854_10740_10860" 17 6.06 1.515 4 0 0 0 2
"9854_11460_11580" 17 11.52 0.4608 13 7.56 0.3024 12 10
"9854_12060_12180" 17 0.5 0.0714285714285714 2 3.35 0.478571428571429 5 1
"9854_13260_13380" 17 5.7 0.438461538461538 7 3.54 0.272307692307692 6 10
"9854_15780_15900" 17 2.65 0.240909090909091 5 3.52 0.32 6 4
"9854_30060_30180" 17 1.9 0.95 2 0 0 0 1
"9854_32340_32460" 17 2.46 0.492 3 0.52 0.104 2 5
"9858_ 2580_ 2700" 13 3.71 0.371 4 14.71 1.471 6 0
"9858_ 3360_ 3480" 13 0 0 0 0.81 0.405 2 1
"9858_ 4740_ 4860" 13 3.29 0.548333333333333 5 0.42 0.07 1 0
"9858_ 9600_ 9720" 13 0.33 0.165 1 0.13 0.065 1 0
